                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                  1.684,                 1.2427,                  1.515,                0.42951,                0.33302,                0.32907,                0.15202,                 1.9551,                 1.6028,                 1.7095,             0.00067764,             0.00067764,             0.00067764
                    122,                 1.6152,                 1.1989,                 1.4962,                0.45726,                0.35155,                0.35445,                0.16594,                 1.9238,                 1.5292,                 1.7153,             0.00067688,             0.00067688,             0.00067688
                    123,                 1.6207,                 1.1708,                 1.5029,                0.41048,                0.35842,                0.32821,                0.15327,                 1.9507,                 1.5821,                 1.7195,             0.00067612,             0.00067612,             0.00067612
                    124,                 1.6303,                  1.181,                 1.4891,                0.43509,                0.35436,                 0.3399,                0.15937,                 1.9288,                 1.5828,                 1.7111,             0.00067536,             0.00067536,             0.00067536
                    125,                 1.6037,                 1.1643,                 1.4765,                0.44253,                0.34702,                0.34302,                0.16448,                 1.9113,                 1.5762,                 1.7033,              0.0006746,              0.0006746,              0.0006746
                    126,                 1.6009,                 1.1677,                 1.4862,                0.44321,                0.34792,                0.34515,                0.16798,                 1.9188,                 1.5472,                  1.708,             0.00067384,             0.00067384,             0.00067384
                    127,                 1.5977,                 1.1836,                 1.4943,                0.45617,                 0.3547,                0.35361,                0.17017,                 1.9455,                  1.602,                  1.717,             0.00067307,             0.00067307,             0.00067307
                    128,                 1.6127,                 1.1796,                 1.5175,                0.42353,                0.35929,                0.34313,                0.16234,                 1.9733,                 1.5836,                 1.7292,             0.00067231,             0.00067231,             0.00067231
                    129,                 1.6024,                 1.1621,                 1.4679,                0.42084,                0.36795,                0.34459,                  0.157,                 2.0057,                 1.6129,                 1.7435,             0.00067155,             0.00067155,             0.00067155
                    130,                 1.5916,                 1.1547,                  1.479,                0.46302,                0.35994,                0.36123,                0.17294,                 1.9238,                 1.5563,                 1.7021,             0.00067079,             0.00067079,             0.00067079
                    131,                 1.5813,                 1.1616,                 1.4617,                0.47029,                0.35384,                0.35624,                0.17127,                 1.9077,                  1.539,                 1.6945,             0.00067003,             0.00067003,             0.00067003
                    132,                 1.5585,                 1.1493,                 1.4666,                0.45364,                0.37118,                0.35402,                0.17151,                 1.9219,                 1.5438,                 1.7047,             0.00066927,             0.00066927,             0.00066927
                    133,                 1.5947,                 1.1424,                 1.4656,                0.49614,                0.34648,                0.35016,                0.16864,                 1.9013,                   1.56,                 1.6918,             0.00066851,             0.00066851,             0.00066851
