                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.4177,                 1.0916,                 1.2827,                0.64707,                 0.5667,                0.64394,                0.40653,                 1.2638,                0.91759,                 1.2271,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.4114,                 1.0735,                  1.275,                0.66114,                0.58775,                0.65547,                0.41265,                 1.2431,                0.90379,                 1.2187,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.4303,                 1.0932,                 1.2868,                0.70296,                 0.5915,                0.66823,                0.41813,                 1.2588,                0.90279,                 1.2215,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.4281,                 1.0737,                 1.2769,                0.77231,                0.54927,                0.66714,                0.41052,                 1.2458,                0.89094,                 1.2183,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4074,                 1.0595,                 1.2675,                0.66419,                0.59953,                0.65837,                0.41122,                 1.2557,                0.89715,                 1.2069,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.3928,                 1.0504,                 1.2687,                0.72342,                0.58183,                0.67036,                0.41439,                 1.2306,                0.87411,                 1.2102,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.3785,                 1.0374,                 1.2616,                0.69226,                0.57618,                 0.6683,                0.42522,                 1.2289,                0.87629,                  1.201,               0.009505,               0.009505,               0.009505
                     52,                 1.3896,                 1.0352,                 1.2629,                 0.7115,                0.61297,                0.68649,                 0.4368,                 1.2168,                0.87257,                  1.193,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.3762,                 1.0219,                 1.2521,                0.67044,                0.64284,                0.69249,                0.43864,                 1.1978,                 0.8545,                 1.1933,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.3736,                 1.0265,                 1.2574,                 0.7569,                0.57816,                0.68199,                0.43543,                 1.2083,                0.84905,                 1.1893,              0.0094753,              0.0094753,              0.0094753
                     55,                  1.369,                 1.0118,                 1.2435,                0.70344,                0.64047,                0.70647,                 0.4511,                 1.1852,                0.84371,                 1.1831,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.3635,                  1.007,                  1.254,                 0.7639,                0.60297,                0.69741,                 0.4491,                 1.2026,                0.85021,                 1.1875,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.3541,                0.99316,                 1.2455,                0.73228,                0.59224,                0.69436,                0.44676,                 1.2046,                 0.8447,                 1.1855,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.3494,                0.98721,                 1.2324,                0.72222,                0.66061,                0.71459,                0.46359,                 1.1685,                0.81322,                 1.1701,              0.0094357,              0.0094357,              0.0094357
                     59,                  1.335,                0.97752,                 1.2361,                0.73435,                0.65071,                0.72185,                0.46326,                 1.1645,                0.81961,                 1.1682,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.3456,                0.99049,                 1.2357,                0.74164,                0.64132,                0.71788,                0.45337,                 1.1846,                0.82905,                 1.1787,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.3226,                0.97291,                 1.2303,                0.71293,                0.66526,                0.72388,                0.47229,                 1.1645,                 0.8155,                 1.1646,               0.009406,               0.009406,               0.009406
                     62,                 1.3235,                0.97618,                 1.2339,                0.69287,                0.65306,                0.71359,                0.46483,                 1.1753,                0.81095,                 1.1715,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.3307,                0.97063,                 1.2282,                0.74605,                0.66762,                0.72914,                0.46731,                 1.1554,                0.81654,                 1.1598,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.3221,                0.96245,                 1.2169,                0.74495,                0.65534,                0.73304,                0.46994,                 1.1743,                0.79637,                 1.1664,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.3172,                 0.9561,                 1.2218,                0.76921,                0.64565,                0.73495,                0.48189,                 1.1424,                0.78661,                 1.1556,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.3279,                0.95313,                 1.2196,                0.79466,                0.64083,                0.73527,                0.48917,                 1.1242,                0.77561,                 1.1485,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.2983,                0.94096,                 1.2146,                 0.7619,                0.66259,                0.73925,                0.48355,                 1.1465,                0.79411,                 1.1513,              0.0093466,              0.0093466,              0.0093466
